species_id	label	organism	taxid	annotation	annotation_tabix	annotation_index	genome	genome_2bit	aliases	icon	kingdom
arabidopsis_thaliana_gcf_000001735_4_tair10_1_genomic	Arabidopsis thaliana	Arabidopsis thaliana	3702	annotations/GCF_000001735.4_TAIR10.1_genomic.gff.gz	annotations/GCF_000001735.4_TAIR10.1_genomic.gff.gz	annotations/GCF_000001735.4_TAIR10.1_genomic.gff.gz.tbi		genomes/GCF_000001735.4_TAIR10.1_genomic.2bit	arabidopsis|thale cress	/icons/Arabidopsis thaliana.ico	Plantae
botrytis_cinerea_b05_10_gcf_000143535_2_asm14353v4_genomic	Botrytis cinerea B05.10	Botrytis cinerea B05.10	332648	annotations/GCF_000143535.2_ASM14353v4_genomic.gff.gz	annotations/GCF_000143535.2_ASM14353v4_genomic.gff.gz	annotations/GCF_000143535.2_ASM14353v4_genomic.gff.gz.tbi		genomes/GCF_000143535.2_ASM14353v4_genomic.2bit	botrytis	/icons/Botrytis cinerea.ico	Fungi
caenorhabditis_elegans_gcf_000002985_6_wbcel235_genomic	Caenorhabditis elegans	Caenorhabditis elegans	6239	annotations/GCF_000002985.6_WBcel235_genomic.gff.gz	annotations/GCF_000002985.6_WBcel235_genomic.gff.gz	annotations/GCF_000002985.6_WBcel235_genomic.gff.gz.tbi		genomes/GCF_000002985.6_WBcel235_genomic.2bit	c elegans|nematode	/icons/Caenorhabditis elegans.ico	Animalia
candida_albicans_gcf_000182965_3_asm18296v3_genomic	Candida albicans	Candida albicans	5476	annotations/GCF_000182965.3_ASM18296v3_genomic.gff.gz	annotations/GCF_000182965.3_ASM18296v3_genomic.gff.gz	annotations/GCF_000182965.3_ASM18296v3_genomic.gff.gz.tbi		genomes/GCF_000182965.3_ASM18296v3_genomic.2bit	candida	/icons/Candida albicans.ico	Fungi
canis_lupus_familiaris_gcf_011100685_1_uu_cfam_gsd_1_0_genomic	Canis lupus familiaris	Canis lupus familiaris	9615	annotations/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.gff.gz	annotations/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.gff.gz	annotations/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.gff.gz.tbi		genomes/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.2bit	canine|dog	/icons/Canis lupus familiaris.ico	Animalia
danio_rerio_gcf_049306965_1_grcz12tu_genomic	Danio rerio	Danio rerio	7955	annotations/GCF_049306965.1_GRCz12tu_genomic.gff.gz	annotations/GCF_049306965.1_GRCz12tu_genomic.gff.gz	annotations/GCF_049306965.1_GRCz12tu_genomic.gff.gz.tbi		genomes/GCF_049306965.1_GRCz12tu_genomic.2bit	zebrafish	/icons/Danio rerio.ico	Animalia
desmodus_rotundus_gcf_022682495_2_hldesrot8a_1_genomic	Desmodus rotundus	Desmodus rotundus	9430	annotations/GCF_022682495.2_HLdesRot8A.1_genomic.gff.gz	annotations/GCF_022682495.2_HLdesRot8A.1_genomic.gff.gz	annotations/GCF_022682495.2_HLdesRot8A.1_genomic.gff.gz.tbi		genomes/GCF_022682495.2_HLdesRot8A.1_genomic.2bit	common vampire bat|vampire bat	/icons/Desmodus rotundus.ico	Animalia
drosophila_melanogaster_gcf_000001215_4_release_6_plus_iso1_mt_genomic	Drosophila melanogaster	Drosophila melanogaster	7227	annotations/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz	annotations/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz	annotations/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz.tbi		genomes/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.2bit	drosophila|fruit fly	/icons/Drosophila melanogaster.ico	Animalia
equus_caballus_gcf_041296265_1_tb_t2t_genomic	Equus caballus	Equus caballus	9796	annotations/GCF_041296265.1_TB-T2T_genomic.gff.gz	annotations/GCF_041296265.1_TB-T2T_genomic.gff.gz	annotations/GCF_041296265.1_TB-T2T_genomic.gff.gz.tbi		genomes/GCF_041296265.1_TB-T2T_genomic.2bit	horse	/icons/Equus caballus.ico	Animalia
fragaria_vesca_subsp_vesca_gcf_000184155_1_fraveshawaii_1_0_genomic	Fragaria vesca subsp. vesca	Fragaria vesca subsp. vesca	101020	annotations/GCF_000184155.1_FraVesHawaii_1.0_genomic.gff.gz	annotations/GCF_000184155.1_FraVesHawaii_1.0_genomic.gff.gz	annotations/GCF_000184155.1_FraVesHawaii_1.0_genomic.gff.gz.tbi		genomes/GCF_000184155.1_FraVesHawaii_1.0_genomic.2bit	strawberry	/icons/Fragaria vesca.ico	Plantae
homo_sapiens_gcf_000001405_40_grch38_p14_genomic	Homo sapiens	Homo sapiens	9606	annotations/GCF_000001405.40_GRCh38.p14_genomic.gff.gz	annotations/GCF_000001405.40_GRCh38.p14_genomic.gff.gz	annotations/GCF_000001405.40_GRCh38.p14_genomic.gff.gz.tbi		genomes/GCF_000001405.40_GRCh38.p14_genomic.2bit	human	/icons/Homo sapiens.ico	Animalia
malus_domestica_gcf_042453785_1_gdt2t_hap1_genomic	Malus domestica	Malus domestica	3750	annotations/GCF_042453785.1_GDT2T_hap1_genomic.gff.gz	annotations/GCF_042453785.1_GDT2T_hap1_genomic.gff.gz	annotations/GCF_042453785.1_GDT2T_hap1_genomic.gff.gz.tbi		genomes/GCF_042453785.1_GDT2T_hap1_genomic.2bit	apple	/icons/Malus domestica.ico	Plantae
mus_musculus_gcf_000001635_27_grcm39_genomic	Mus musculus	Mus musculus	10090	annotations/GCF_000001635.27_GRCm39_genomic.gff.gz	annotations/GCF_000001635.27_GRCm39_genomic.gff.gz	annotations/GCF_000001635.27_GRCm39_genomic.gff.gz.tbi		genomes/GCF_000001635.27_GRCm39_genomic.2bit	mouse	/icons/Mus musculus.ico	Animalia
neurospora_crassa_gcf_000182925_2_nc12_genomic	Neurospora crassa	Neurospora crassa	367110	annotations/GCF_000182925.2_NC12_genomic.gff.gz	annotations/GCF_000182925.2_NC12_genomic.gff.gz	annotations/GCF_000182925.2_NC12_genomic.gff.gz.tbi		genomes/GCF_000182925.2_NC12_genomic.2bit	neurospora	/icons/Neurospora crassa.ico	Fungi
oryza_sativa_indica_group_oryza_indica_asm465v1_62	Oryza sativa Indica Group	Oryza sativa Indica Group	39946	annotations/Oryza_indica.ASM465v1.62.gff3.gz	annotations/Oryza_indica.ASM465v1.62.gff3.gz	annotations/Oryza_indica.ASM465v1.62.gff3.gz.tbi		genomes/Oryza_indica.ASM465v1.dna.toplevel.2bit	indica|long-grained rice|oryza|Oryza sativa ssp. indica|osativa|rice	/icons/Oryza sativa indica.ico	Plantae
