timestamp_utc,session_count,mem_available_mib,swap_used_mib,load1,container,cpu_percent,mem_used_mib,pids
2026-07-03T02:19:26Z,1,13534,0,0.04,cgv-shinyproxy,0.84,539.90,116
2026-07-03T02:19:26Z,1,13534,0,0.04,cgv-nginx,0.00,6.88,9
2026-07-03T02:19:26Z,1,13534,0,0.04,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,1.59,421.50,27
2026-07-03T02:19:31Z,1,13538,0,0.04,cgv-shinyproxy,0.84,539.90,116
2026-07-03T02:19:31Z,1,13538,0,0.04,cgv-nginx,0.00,6.88,9
2026-07-03T02:19:31Z,1,13538,0,0.04,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,1.58,421.50,27
2026-07-03T02:19:37Z,1,13551,0,0.04,cgv-shinyproxy,0.84,539.90,116
2026-07-03T02:19:37Z,1,13551,0,0.04,cgv-nginx,0.00,6.88,9
2026-07-03T02:19:37Z,1,13551,0,0.04,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,1.57,421.50,27
2026-07-03T02:19:42Z,1,13548,0,0.03,cgv-shinyproxy,0.84,539.90,116
2026-07-03T02:19:42Z,1,13548,0,0.03,cgv-nginx,0.00,6.88,9
2026-07-03T02:19:42Z,1,13548,0,0.03,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,1.56,421.50,27
2026-07-03T02:19:48Z,6,12735,0,0.81,cgv-shinyproxy,0.86,577.80,119
2026-07-03T02:19:48Z,6,12735,0,0.81,cgv-nginx,0.00,7.00,9
2026-07-03T02:19:48Z,6,12735,0,0.81,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,2.04,483.50,27
2026-07-03T02:19:48Z,6,12735,0,0.81,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,104.33,127.70,9
2026-07-03T02:19:48Z,6,12735,0,0.81,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,105.10,127.70,9
2026-07-03T02:19:48Z,6,12735,0,0.81,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,99.39,159.90,9
2026-07-03T02:19:48Z,6,12735,0,0.81,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,103.02,131.70,9
2026-07-03T02:19:48Z,6,12735,0,0.81,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,102.22,147.70,9
2026-07-03T02:19:54Z,6,11686,0,1.15,cgv-shinyproxy,0.86,556.70,119
2026-07-03T02:19:54Z,6,11686,0,1.15,cgv-nginx,0.00,7.01,9
2026-07-03T02:19:54Z,6,11686,0,1.15,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,2.68,466.80,27
2026-07-03T02:19:54Z,6,11686,0,1.15,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,107.28,345.90,27
2026-07-03T02:19:54Z,6,11686,0,1.15,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,105.67,345.90,27
2026-07-03T02:19:54Z,6,11686,0,1.15,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,96.21,345.80,27
2026-07-03T02:19:54Z,6,11686,0,1.15,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,105.36,345.90,27
2026-07-03T02:19:54Z,6,11686,0,1.15,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,97.93,345.80,27
2026-07-03T02:20:00Z,6,11519,0,1.54,cgv-shinyproxy,0.86,556.70,119
2026-07-03T02:20:00Z,6,11519,0,1.54,cgv-nginx,0.00,7.01,9
2026-07-03T02:20:00Z,6,11519,0,1.54,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,3.34,466.80,27
2026-07-03T02:20:00Z,6,11519,0,1.54,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,104.64,366.60,27
2026-07-03T02:20:00Z,6,11519,0,1.54,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,103.63,415.60,27
2026-07-03T02:20:00Z,6,11519,0,1.54,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,97.53,364.60,27
2026-07-03T02:20:00Z,6,11519,0,1.54,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,103.38,416.30,27
2026-07-03T02:20:00Z,6,11519,0,1.54,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,98.64,363.80,27
2026-07-03T02:20:06Z,6,11320,0,1.89,cgv-shinyproxy,0.88,567.50,128
2026-07-03T02:20:06Z,6,11320,0,1.89,cgv-nginx,0.00,7.11,9
