case_id	workflow	query_order	organism	species_id	assembly_accession	query
hkt_rice	multi_gene	1	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT1;1
hkt_rice	multi_gene	2	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT1;3
hkt_rice	multi_gene	3	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT1;4
hkt_rice	multi_gene	4	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT1;5
hkt_rice	multi_gene	5	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT2;1
hkt_rice	multi_gene	6	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT2;3
hkt_rice	multi_gene	7	Oryza sativa ssp. japonica	oryza_sativa_ssp_japonica_gcf_034140825_1_asm3414082v1_genomic	GCF_034140825.1	HKT2;4
tp53_cross_species	cross_species	1	Homo sapiens	homo_sapiens_gcf_000001405_40_grch38_p14_genomic	GCF_000001405.40	TP53
tp53_cross_species	cross_species	2	Canis lupus familiaris	canis_lupus_familiaris_gcf_011100685_1_uu_cfam_gsd_1_0_genomic	GCF_011100685.1	TP53
tp53_cross_species	cross_species	3	Danio rerio	danio_rerio_gcf_049306965_1_grcz12tu_genomic	GCF_049306965.1	TP53
tp53_cross_species	cross_species	4	Equus caballus	equus_caballus_gcf_041296265_1_tb_t2t_genomic	GCF_041296265.1	TP53
tp53_cross_species	cross_species	5	Mus musculus	mus_musculus_gcf_000001635_27_grcm39_genomic	GCF_000001635.27	TP53
tp53_cross_species	cross_species	6	Pan troglodytes	pan_troglodytes_gcf_028858775_2_nhgri_mpantro3_v2_0_pri_genomic	GCF_028858775.2	TP53
tp53_cross_species	cross_species	7	Xenopus laevis	xenopus_laevis_gcf_017654675_1_xenopus_laevis_v10_1_genomic	GCF_017654675.1	TP53
