species_id	organism	taxid	source	db_namespace	gaf_file	file_name	gcf_accession	taxon_from_gaf	match_method	generated_by	date_generated	priority	is_primary	notes
desmodus_rotundus_gcf_022682495_2_hldesrot8a_1_genomic	Desmodus rotundus	9430	NCBI	NCBIGene	go_annotations/raw/GCF_022682495.2-RS_2025_02_gene_ontology.gaf.gz	GCF_022682495.2-RS_2025_02_gene_ontology.gaf.gz	GCF_022682495.2	9430	gcf_accession	NCBI	2025-02-11	10	TRUE	
equus_caballus_gcf_041296265_1_tb_t2t_genomic	Equus caballus	9796	NCBI	NCBIGene	go_annotations/raw/GCF_041296265.1-RS_2024_12_gene_ontology.gaf.gz	GCF_041296265.1-RS_2024_12_gene_ontology.gaf.gz	GCF_041296265.1	9796	gcf_accession	NCBI	2024-12-09	10	TRUE	
fragaria_vesca_gcf_000184155_1_fraveshawaii_1_0_genomic	Fragaria vesca	101020	NCBI	NCBIGene	go_annotations/raw/GCF_000184155.1_FraVesHawaii_1.0_gene_ontology.gaf.gz	GCF_000184155.1_FraVesHawaii_1.0_gene_ontology.gaf.gz	GCF_000184155.1	101020	gcf_accession	NCBI	2023-10-21	10	TRUE	
gcf_000143535_2_asm14353v4_genomic_gcf_000143535_2_asm14353v4_genomic	Botrytis cinerea	332648	NCBI	NCBIGene	go_annotations/raw/GCF_000143535.2_ASM14353v4_gene_ontology.gaf.gz	GCF_000143535.2_ASM14353v4_gene_ontology.gaf.gz	GCF_000143535.2	332648	gcf_accession	NCBI	2023-12-16	10	TRUE	
gcf_000182925_2_nc12_genomic_gcf_000182925_2_nc12_genomic	Neurospora crassa	367110	NCBI	NCBIGene	go_annotations/raw/GCF_000182925.2_NC12_gene_ontology.gaf.gz	GCF_000182925.2_NC12_gene_ontology.gaf.gz	GCF_000182925.2	367110	gcf_accession	NCBI	2023-11-11	10	TRUE	
gcf_028858775_2_nhgri_mpantro3_v2_0_pri_genomic_gcf_028858775_2_nhgri_mpantro3_v2_0_pri_genomic	Pan troglodytes	9598	NCBI	NCBIGene	go_annotations/raw/GCF_028858775.2-RS_2024_02_gene_ontology.gaf.gz	GCF_028858775.2-RS_2024_02_gene_ontology.gaf.gz	GCF_028858775.2	9598	gcf_accession	NCBI	2024-03-11	10	TRUE	
gcf_030704535_1_asm3070453v1_genomic_gcf_030704535_1_asm3070453v1_genomic	Vitis vinifera	29760	NCBI	NCBIGene	go_annotations/raw/GCF_030704535.1-RS_2023_09_gene_ontology.gaf.gz	GCF_030704535.1-RS_2023_09_gene_ontology.gaf.gz	GCF_030704535.1	29760	gcf_accession	NCBI	2023-10-23	10	TRUE	
gcf_034140825_1_asm3414082v1_genomic_gcf_034140825_1_asm3414082v1_genomic	Oryza sativa ssp. japonica	39947	NCBI	NCBIGene	go_annotations/raw/GCF_034140825.1-RS_2024_06_gene_ontology.gaf.gz	GCF_034140825.1-RS_2024_06_gene_ontology.gaf.gz	GCF_034140825.1	39947	gcf_accession	NCBI	2024-07-08	10	TRUE	
gcf_036512215_1_slm_r2_1_genomic_gcf_036512215_1_slm_r2_1_genomic	Solanum lycopersicum	4081	NCBI	NCBIGene	go_annotations/raw/GCF_036512215.1-RS_2024_09_gene_ontology.gaf.gz	GCF_036512215.1-RS_2024_09_gene_ontology.gaf.gz	GCF_036512215.1	4081	gcf_accession	NCBI	2024-10-18	10	TRUE	
gcf_042453785_1_gdt2t_hap1_genomic_gcf_042453785_1_gdt2t_hap1_genomic	Malus domestica	3750	NCBI	NCBIGene	go_annotations/raw/GCF_042453785.1-RS_2024_12_gene_ontology.gaf.gz	GCF_042453785.1-RS_2024_12_gene_ontology.gaf.gz	GCF_042453785.1	3750	gcf_accession	NCBI	2025-01-06	10	TRUE	
phaseolus_vulgaris_gcf_000499845_2_p_vulgaris_v2_0_genomic	Phaseolus vulgaris	3885	NCBI	NCBIGene	go_annotations/raw/GCF_000499845.2-RS_2024_09_gene_ontology.gaf.gz	GCF_000499845.2-RS_2024_09_gene_ontology.gaf.gz	GCF_000499845.2	3885	gcf_accession	NCBI	2024-09-20	10	TRUE	
zea_mays_gcf_902167145_1_zm_b73_reference_nam_5_0_genomic	Zea mays	4577	NCBI	NCBIGene	go_annotations/raw/GCF_902167145.1-RS_2025_02_gene_ontology.gaf.gz	GCF_902167145.1-RS_2025_02_gene_ontology.gaf.gz	GCF_902167145.1	4577	gcf_accession	NCBI	2025-02-18	10	TRUE	
canis_lupus_familiaris_gcf_011100685_1_uu_cfam_gsd_1_0_genomic	Canis lupus familiaris	9615	GO	UniProtKB	go_annotations/raw/goa_dog.gaf.gz	goa_dog.gaf.gz		9615	taxid	GOC	2026-01-27T01:25	20	TRUE	
danio_rerio_gcf_049306965_1_grcz12tu_genomic	Danio rerio	7955	GO	ZFIN	go_annotations/raw/zfin.gaf.gz	zfin.gaf.gz		7955	taxid	GOC	2026-01-27T02:50	20	TRUE	
drosophila_melanogaster_gcf_000001215_4_release_6_plus_iso1_mt_genomic	Drosophila melanogaster	7227	GO	FB	go_annotations/raw/fb.gaf.gz	fb.gaf.gz		7227	taxid	GOC	2026-01-27T01:07	20	TRUE	
gcf_000001635_27_grcm39_genomic_gcf_000001635_27_grcm39_genomic	Mus musculus	10090	GO	MGI	go_annotations/raw/mgi.gaf.gz	mgi.gaf.gz		10090	taxid	GOC	2026-01-27T02:04	20	TRUE	
gcf_000001735_4_tair10_1_genomic_gcf_000001735_4_tair10_1_genomic	Arabidopsis thaliana	3702	GO	AGI_LocusCode	go_annotations/raw/tair.gaf.gz	tair.gaf.gz		3702	taxid	GOC	2026-01-27T02:35	20	TRUE	
gcf_000002985_6_wbcel235_genomic_gcf_000002985_6_wbcel235_genomic	Caenorhabditis elegans	6239	GO	WB	go_annotations/raw/wb.gaf.gz	wb.gaf.gz		6239	taxid	GOC	2026-01-27T02:39	20	TRUE	
gcf_000146045_2_r64_genomic_gcf_000146045_2_r64_genomic	Saccharomyces cerevisiae	559292	GO	SGD	go_annotations/raw/sgd.gaf.gz	sgd.gaf.gz		559292	taxid	GOC	2026-01-27T02:31	20	TRUE	
gcf_000182965_3_asm18296v3_genomic_gcf_000182965_3_asm18296v3_genomic	Candida albicans	237561	GO	CGD	go_annotations/raw/cgd.gaf.gz	cgd.gaf.gz		237561	taxid	GOC	2026-01-27T00:58	20	TRUE	
gcf_017654675_1_xenopus_laevis_v10_1_genomic_gcf_017654675_1_xenopus_laevis_v10_1_genomic	Xenopus laevis	8355	GO	Xenbase	go_annotations/raw/xenbase.gaf.gz	xenbase.gaf.gz		8355	taxid	GOC	2026-01-27T02:44	20	TRUE	
homo_sapiens_gcf_000001405_40_grch38_p14_genomic	Homo sapiens	9606	GO	UniProtKB	go_annotations/raw/goa_human.gaf.gz	goa_human.gaf.gz		9606	taxid	GOC	2026-01-27T01:39	20	TRUE	
sus_scrofa_gcf_000003025_6_sscrofa11_1_genomic	Sus scrofa	9823	GO	UniProtKB	go_annotations/raw/goa_pig.gaf.gz	goa_pig.gaf.gz		9823	taxid	GOC	2026-01-27T01:52	20	TRUE	
